sku;product-id;product-id-type;price;quantity;state;update-delete;canon;tipo-iva
MS2PXL-094;8436574705515;EAN;14,18;3;11;update;0.00;21.00
MS2PXL-096;8436574705522;EAN;15,02;2;11;update;0.00;21.00
WT70F-069;8436574704822;EAN;15,72;1;11;update;0.00;21.00
WT100F-067;8436574704839;EAN;50,16;10;11;update;0.00;21.00
CT80TSE-075;8436574704846;EAN;48,18;2;11;update;0.00;21.00
FT70S-077;8436574704853;EAN;102,17;98;11;update;0.00;21.00
DT27TSR-061;8436574704860;EAN;50,03;1;11;update;0.00;21.00
DT32TSR-063;8436574704877;EAN;50,27;1;11;update;0.00;21.00
DT27TSR-065;8436574704884;EAN;74,87;2;11;update;0.00;21.00
DF01B-079;8436574704914;EAN;254,34;93;11;update;0.00;21.00
TAL-LIZARD-BLUE;8436550235746;EAN;188,54;0;11;update;0.00;21.00
PH-KEOPS-NOCHE;8433281010550;EAN;13,39;0;11;update;0.00;21.00
DB3270T-B;8433281010321;EAN;28,99;5;11;update;0.00;21.00
DB1200TN-B;8433281010338;EAN;50,00;10;11;update;0.00;21.00
LPS1M-099;8436574705584;EAN;18,60;1;11;update;0.00;21.00
LPS1M-101;8436574705591;EAN;19,80;7;11;update;0.00;21.00
MSC1P-107;8436574705942;EAN;14,94;6;11;update;0.00;21.00
COO-TVSTAND-04;8436556142345;EAN;63,49;0;11;update;0.00;21.00
MR01C-109;8436574706048;EAN;19,94;1;11;update;0.00;21.00
MS1P02-111;8436574706055;EAN;27,75;52;11;update;0.00;21.00
MS1P03-113;8436574706062;EAN;43,40;0;11;update;0.00;21.00
DB1127TN-W;8433281011830;EAN;34,83;0;11;update;0.00;21.00
DB4032TNR-G;8433281010666;EAN;38,03;5;11;update;0.00;21.00
DB4032TNR-W;8433281010673;EAN;41,06;4;11;update;0.00;21.00
DB4132TNR-G;8433281011809;EAN;56,42;6;11;update;0.00;21.00
DB4132TNR-W;8433281011816;EAN;66,45;1;11;update;0.00;21.00
FS2270M-B;8433281010703;EAN;446,06;57;11;update;0.00;21.00
DT32TSR-115;8436574706123;EAN;43,14;1;11;update;0.00;21.00
MR02-117;8436574706130;EAN;23,50;1;11;update;0.00;21.00
A154-0533;8436574706161;EAN;13,66;31;11;update;0.00;21.00
A154-0534;8436574706178;EAN;13,09;1;11;update;0.00;21.00
A154-0535;8436574706185;EAN;14,87;3;11;update;0.00;21.00
A154-0536;8436574706192;EAN;14,87;3;11;update;0.00;21.00
LP1043F-B;8433281011922;EAN;11,51;1;11;update;0.00;21.00
LP1044T-B;8433281011939;EAN;13,13;1;11;update;0.00;21.00
LP1070F-B;8433281011946;EAN;13,36;1;11;update;0.00;21.00
LP1071T-B;8433281011953;EAN;14,87;2;11;update;0.00;21.00
LP1080F-B;8433281011960;EAN;14,97;9;11;update;0.00;21.00
LP1081T-B;8433281011977;EAN;16,99;8;11;update;0.00;21.00
DB1701TN-B;8433281012011;EAN;32,17;9;11;update;0.00;21.00
DB1702TN-B;8433281012028;EAN;42,45;2;11;update;0.00;21.00
DB1703TNV-B;8433281012035;EAN;41,32;1;11;update;0.00;21.00
TQBC-E2503B;8433281012141;EAN;11,98;1;11;update;0.00;21.00
TQBC-E2503G;8433281012158;EAN;11,82;1;11;update;0.00;21.00
TQBC-E2503PB;8433281012165;EAN;11,98;1;11;update;0.00;21.00
TQBC-M201B;8433281012172;EAN;11,64;1;11;update;0.00;21.00
TQBC-M201G;8433281012189;EAN;11,80;1;11;update;0.00;21.00
TQBC-M201PB;8433281012196;EAN;9,66;0;11;update;0.00;21.00
FS20300M-B;8433281012226;EAN;470,32;27;11;update;0.00;21.00
FS20400HM-B;8433281012233;EAN;344,34;74;11;update;0.00;21.00
WT90F-119;8436574707397;EAN;24,77;5;11;update;0.00;21.00
WT90T-121;8436574707403;EAN;25,08;1;11;update;0.00;21.00
FT100TE-123;8436574707410;EAN;364,97;136;11;update;0.00;21.00
FT100TE-125;8436574707427;EAN;426,24;1;11;update;0.00;21.00
TQMPM4776;8433281012318;EAN;13,71;2;11;update;0.00;21.00
A154-0649;8436574707687;EAN;14,01;5;11;update;0.00;21.00
A154-0650;8436574707694;EAN;14,64;122;11;update;0.00;21.00
A154-0651;8436574707700;EAN;15,18;38;11;update;0.00;21.00
A154-0652;8436574707717;EAN;15,18;47;11;update;0.00;21.00
TQTDS0811;8433281012721;EAN;43,14;1;11;update;0.00;21.00
UMCS0024-B;8433281012769;EAN;27,50;1;11;update;0.00;21.00
TQLRS0012-AL-G;8433281012837;EAN;28,79;1;11;update;0.00;21.00
TQLRS0033-AL-G;8433281012738;EAN;18,53;1;11;update;0.00;21.00
TQFR0603-B;8433281012776;EAN;26,94;1;11;update;0.00;21.00
TQVW5470T;8433281013063;EAN;179,71;31;11;update;0.00;21.00
DG-MOB-06;8436556141751;EAN;35,94;7;11;update;0.00;21.00
TQLRS0035-AL;8433281012745;EAN;14,61;1;11;update;0.00;21.00
TQLRS0035-AL-G;8433281012752;EAN;14,61;1;11;update;0.00;21.00
DB2375F-B;8433281013117;EAN;20,10;20;11;update;0.00;21.00
LP7843TN-B;8433281013124;EAN;27,13;6;11;update;0.00;21.00
LP7846TN-B;8433281013131;EAN;30,06;7;11;update;0.00;21.00
LP7863TN-B;8433281013148;EAN;24,28;4;11;update;0.00;21.00
LP7866TN-B;8433281013155;EAN;32,17;4;11;update;0.00;21.00
TQFR0601-G;8433281013025;EAN;26,88;10;11;update;0.00;21.00
TQMUD01;8433281013407;EAN;29,18;3;11;update;0.00;21.00
BHR5474GL;6934177756474;EAN;53,94;35;11;update;0.00;21.00
TAL-MAMUT-GRY;8436550235555;EAN;310,77;11;11;update;0.00;21.00
TAL-CRAB-BLU;8436550236385;EAN;144,80;0;11;update;0.00;21.00
TAL-HORNET-PNK;8436550236453;EAN;159,16;0;11;update;0.00;21.00
ASBG-001-BK;8436574708035;EAN;11,79;13;11;update;0.00;21.00
ASBG-003-BK;8436574708042;EAN;11,79;6;11;update;0.00;21.00
ASBG-005-GR;8436574708059;EAN;11,80;1;11;update;0.00;21.00
ASBG-006-BK;8436574708066;EAN;11,64;1;11;update;0.00;21.00
WT80R-137;8436574708110;EAN;31,35;0;11;update;0.00;21.00
FT100E-135;8436574708127;EAN;200,50;100;11;update;0.00;21.00
